id,age,gender,annual_income,loan_amount,loan_term,employment_type,purpose,num_dependents,bureau_score,num_of_accounts,num_of_open_accounts,total_debt,delinquencies,num_loans,num_defaults,total_loan_amount,total_repaid_amount,avg_dpd,months_on_book,status,dpd,payment_amount,num_cards,credit_limit,utilization_ratio,max_utilization_ratio,late_payments,default_12m
1,31,Male,824188,647296,12,Self-employed,Home,2,862,1,6,47277,1,8,1,1291628,781974,16,3,Paid,43,76578,4,239144,0.6266087070282412,0.7364014124417109,5,0
2,48,Female,1936242,313811,48,Salaried,Education,4,345,8,5,554385,5,5,0,143269,1313645,54,55,Late,8,23527,3,499184,0.933289642032814,0.0403077003813965,13,0
3,28,Female,355312,833911,60,Salaried,Car,5,346,8,1,372739,2,6,2,1555325,174325,50,51,Late,35,43798,2,56356,0.0022201078404958,0.7513696212749704,11,1
4,39,Female,285324,484946,36,Salaried,Car,3,618,9,6,748997,7,2,2,1768152,809941,45,13,Paid,22,36177,2,297481,0.1093830137206474,0.0173591176847134,3,0
5,21,Male,1809716,922096,36,Self-employed,Business,5,442,6,1,136172,5,3,1,443534,291845,76,14,Late,36,18434,1,143815,0.3515879406859533,0.7749427688702002,15,0
6,31,Male,459695,889556,24,Salaried,Education,4,550,2,4,937381,7,3,2,52562,751256,7,27,Late,23,14649,3,100203,0.99406329138261,0.4451253369639822,13,0
7,56,Male,941342,739620,48,Salaried,Home,3,317,8,4,236105,5,3,1,452310,1419601,10,54,Paid,84,57809,3,379603,0.0965613207309872,0.0141337261613059,9,1
8,48,Female,1695567,970200,24,Salaried,Home,4,432,8,4,794214,2,2,1,798590,1587790,15,4,Paid,34,35749,2,458560,0.4800010407506745,0.5127843211835565,11,0
9,24,Male,248709,759116,60,Self-employed,Education,3,505,6,2,952089,3,1,0,729930,1421722,11,44,Paid,70,10230,2,295493,0.3414704293550972,0.9383395962881812,2,0
10,40,Male,1916539,341366,60,Self-employed,Car,0,514,8,2,686073,5,7,0,80180,172891,21,30,Paid,71,28848,3,190385,0.9928005234535342,0.4882798843312419,3,0
11,35,Female,1114837,67129,12,Salaried,Car,2,512,8,2,944525,4,5,1,1649301,716300,6,58,Late,29,51806,1,361314,0.1769263083848243,0.3617778894528142,13,0
12,25,Male,1037081,756322,12,Salaried,Car,3,706,6,7,447047,3,6,0,1478570,73068,38,37,Paid,53,15562,2,496882,0.448375666708629,0.3969614361612621,2,0
13,57,Female,1406320,157226,24,Self-employed,Business,3,737,6,5,511947,2,8,1,1462571,1447876,25,8,Late,68,67128,4,192819,0.9523328875622534,0.3041989478513573,19,0
14,53,Male,434009,777557,12,Self-employed,Education,1,886,4,4,77121,0,1,0,1212203,466237,82,43,Paid,29,55563,3,158400,0.2610943232098964,0.4005164337313188,18,0
15,45,Female,500600,761282,24,Salaried,Home,4,848,1,2,833780,1,0,0,454467,56923,82,19,Late,53,83043,1,337746,0.4513857579805189,0.0186644990527766,13,0
16,55,Female,451503,899344,48,Self-employed,Business,4,467,4,4,561066,2,2,0,432677,790923,81,5,Late,47,61183,2,194726,0.0989444237213802,0.8708783073490356,12,1
